pH Level,Moisture Content (%),Organic Matter (%),Drainage Quality,Soil Texture,Suitability
6.5,26,4.4,Good,Clay,Not Suitable
6.9,18,1.1,Poor,Loamy,Not Suitable
6.5,24,8.4,Poor,Sandy,Not Suitable
5.0,33,2.2,Poor,Sandy,Not Suitable
7.6,47,3.6,Poor,Loamy,Not Suitable
5.4,44,1.2,Good,Sandy,Not Suitable
4.1,58,4.9,Poor,Loamy,Not Suitable
7.2,78,8.6,Good,Loamy,Not Suitable
4.9,71,4.5,Good,Loamy,Not Suitable
8.7,69,2.6,Poor,Clay,Not Suitable
8.8,59,7.8,Poor,Clay,Not Suitable
8.6,18,8.1,Poor,Clay,Not Suitable
5.9,43,2.6,Good,Loamy,Not Suitable
4.1,44,7.9,Poor,Loamy,Not Suitable
8.6,10,9.5,Poor,Clay,Not Suitable
6.1,49,2.5,Good,Sandy,Not Suitable
8.8,73,7.9,Poor,Loamy,Not Suitable
8.8,31,7.4,Good,Sandy,Not Suitable
8.3,69,5.3,Poor,Sandy,Not Suitable
5.5,73,1.5,Good,Loamy,Not Suitable
5.9,20,1.7,Poor,Loamy,Not Suitable
8.3,23,8.7,Poor,Sandy,Not Suitable
5.6,69,9.9,Good,Sandy,Not Suitable
4.8,39,7.1,Good,Clay,Not Suitable
6.8,44,5.0,Poor,Clay,Not Suitable
8.7,46,6.8,Good,Loamy,Not Suitable
7.5,14,6.3,Good,Clay,Not Suitable
6.9,35,4.5,Good,Clay,Suitable
4.5,71,1.6,Good,Clay,Not Suitable
7.1,13,8.4,Poor,Clay,Not Suitable
9.0,51,4.3,Poor,Sandy,Not Suitable
4.7,27,8.4,Good,Loamy,Not Suitable
6.6,49,3.3,Good,Clay,Suitable
8.4,48,1.0,Good,Sandy,Not Suitable
7.7,23,2.4,Good,Sandy,Not Suitable
7.5,41,5.2,Poor,Sandy,Not Suitable
7.5,60,9.5,Poor,Clay,Not Suitable
5.8,47,1.9,Good,Clay,Not Suitable
5.5,32,8.7,Good,Loamy,Not Suitable
8.0,72,5.7,Good,Clay,Not Suitable
8.1,24,8.4,Poor,Clay,Not Suitable
8.3,34,3.7,Good,Sandy,Not Suitable
8.6,26,8.6,Poor,Loamy,Not Suitable
6.6,75,8.0,Good,Clay,Not Suitable
6.5,62,3.1,Poor,Clay,Not Suitable
8.0,60,2.2,Good,Sandy,Not Suitable
7.2,48,8.8,Poor,Sandy,Not Suitable
7.5,60,9.7,Good,Clay,Suitable
8.0,79,1.3,Good,Loamy,Not Suitable
8.5,15,7.6,Good,Loamy,Not Suitable
5.7,76,9.2,Poor,Sandy,Not Suitable
5.9,16,8.7,Good,Sandy,Not Suitable
4.5,60,9.7,Poor,Clay,Not Suitable
6.9,51,7.8,Poor,Sandy,Not Suitable
4.2,73,5.0,Good,Clay,Not Suitable
6.3,24,3.8,Good,Loamy,Not Suitable
6.7,38,3.9,Good,Loamy,Suitable
5.4,42,7.5,Poor,Clay,Not Suitable
7.0,36,7.7,Good,Sandy,Suitable
4.2,45,2.8,Poor,Loamy,Not Suitable
4.2,38,8.8,Poor,Sandy,Not Suitable
8.1,47,7.4,Good,Loamy,Not Suitable
5.8,66,6.1,Good,Clay,Not Suitable
4.6,36,5.2,Good,Clay,Not Suitable
6.6,64,5.9,Good,Clay,Not Suitable
7.8,42,2.4,Good,Loamy,Not Suitable
5.1,77,2.8,Good,Sandy,Not Suitable
7.1,75,1.8,Poor,Sandy,Not Suitable
4.4,19,2.4,Poor,Sandy,Not Suitable
4.3,14,5.1,Poor,Loamy,Not Suitable
6.7,47,5.8,Good,Loamy,Suitable
6.7,22,1.2,Poor,Loamy,Not Suitable
7.2,40,8.2,Poor,Loamy,Not Suitable
7.6,56,3.6,Poor,Loamy,Not Suitable
8.9,61,9.2,Poor,Sandy,Not Suitable
6.6,65,9.7,Poor,Loamy,Not Suitable
5.6,24,2.7,Good,Loamy,Not Suitable
8.0,38,5.2,Good,Sandy,Not Suitable
5.4,17,1.0,Poor,Loamy,Not Suitable
6.2,14,6.4,Poor,Sandy,Not Suitable
4.4,38,6.5,Poor,Sandy,Not Suitable
4.1,56,3.2,Good,Clay,Not Suitable
8.8,77,6.0,Good,Clay,Not Suitable
8.2,54,3.0,Poor,Clay,Not Suitable
7.5,11,2.4,Good,Clay,Not Suitable
6.0,36,6.9,Good,Loamy,Suitable
4.9,45,3.9,Poor,Clay,Not Suitable
4.8,45,6.3,Good,Sandy,Not Suitable
5.3,35,4.9,Good,Loamy,Not Suitable
6.7,52,9.9,Poor,Clay,Not Suitable
7.6,36,2.3,Good,Sandy,Not Suitable
7.3,78,5.2,Good,Loamy,Not Suitable
5.4,29,7.1,Poor,Loamy,Not Suitable
8.8,20,4.6,Good,Clay,Not Suitable
7.7,47,9.8,Good,Loamy,Not Suitable
6.8,15,7.5,Poor,Sandy,Not Suitable
7.1,32,6.9,Poor,Loamy,Not Suitable
6.1,56,7.8,Poor,Sandy,Not Suitable
5.2,55,9.6,Good,Loamy,Not Suitable
5.8,21,9.2,Poor,Clay,Not Suitable
7.8,22,7.5,Good,Sandy,Not Suitable
4.1,71,7.7,Poor,Loamy,Not Suitable
4.6,69,2.3,Good,Loamy,Not Suitable
4.2,52,1.9,Poor,Loamy,Not Suitable
4.2,77,6.1,Poor,Sandy,Not Suitable
8.3,14,1.2,Poor,Sandy,Not Suitable
7.5,46,5.3,Poor,Sandy,Not Suitable
6.4,40,2.9,Good,Clay,Not Suitable
4.5,18,4.1,Poor,Clay,Not Suitable
6.5,60,8.0,Poor,Sandy,Not Suitable
6.4,38,9.5,Good,Loamy,Suitable
4.9,49,1.7,Poor,Clay,Not Suitable
6.2,50,5.8,Good,Sandy,Suitable
6.0,20,8.9,Poor,Loamy,Not Suitable
7.1,32,1.7,Poor,Clay,Not Suitable
7.2,10,8.4,Poor,Loamy,Not Suitable
4.2,55,4.2,Good,Loamy,Not Suitable
5.9,30,3.9,Poor,Loamy,Not Suitable
7.1,45,9.8,Poor,Loamy,Not Suitable
6.5,63,2.8,Poor,Clay,Not Suitable
8.3,66,7.2,Good,Clay,Not Suitable
7.3,10,8.4,Good,Clay,Not Suitable
4.8,72,1.4,Poor,Sandy,Not Suitable
4.4,63,7.0,Good,Clay,Not Suitable
7.2,64,9.6,Poor,Loamy,Not Suitable
4.1,49,2.1,Poor,Clay,Not Suitable
6.9,24,9.1,Poor,Loamy,Not Suitable
8.7,30,6.4,Poor,Sandy,Not Suitable
6.9,56,6.5,Poor,Loamy,Not Suitable
5.9,62,6.5,Poor,Loamy,Not Suitable
7.2,18,3.7,Poor,Loamy,Not Suitable
6.3,61,9.4,Good,Sandy,Not Suitable
6.7,66,9.5,Good,Clay,Not Suitable
8.7,35,6.6,Good,Clay,Not Suitable
5.9,50,8.1,Good,Sandy,Not Suitable
8.8,44,6.5,Good,Loamy,Not Suitable
8.5,72,5.4,Good,Clay,Not Suitable
5.0,34,6.9,Good,Sandy,Not Suitable
4.3,47,6.0,Poor,Clay,Not Suitable
4.5,11,6.4,Poor,Sandy,Not Suitable
4.1,16,8.1,Poor,Loamy,Not Suitable
4.5,43,5.3,Poor,Clay,Not Suitable
7.4,26,1.4,Good,Sandy,Not Suitable
4.4,52,2.5,Good,Clay,Not Suitable
5.6,68,4.9,Poor,Clay,Not Suitable
8.2,60,7.5,Poor,Clay,Not Suitable
4.1,63,6.3,Good,Clay,Not Suitable
8.1,33,6.9,Poor,Sandy,Not Suitable
5.4,34,5.3,Poor,Loamy,Not Suitable
4.6,80,6.5,Poor,Sandy,Not Suitable
7.5,61,4.0,Poor,Sandy,Not Suitable
7.1,79,5.2,Good,Sandy,Not Suitable
8.4,42,7.7,Poor,Loamy,Not Suitable
7.7,58,8.8,Poor,Clay,Not Suitable
8.0,38,4.9,Good,Clay,Not Suitable
5.4,72,1.4,Good,Clay,Not Suitable
4.9,31,2.5,Poor,Loamy,Not Suitable
7.8,35,1.2,Good,Clay,Not Suitable
8.0,37,6.9,Poor,Loamy,Not Suitable
9.0,58,4.0,Poor,Clay,Not Suitable
6.1,80,5.9,Good,Clay,Not Suitable
5.9,58,5.4,Poor,Sandy,Not Suitable
7.9,29,1.7,Poor,Loamy,Not Suitable
5.7,72,4.6,Poor,Sandy,Not Suitable
8.7,70,3.0,Poor,Sandy,Not Suitable
8.3,58,4.8,Good,Sandy,Not Suitable
6.1,80,2.8,Good,Loamy,Not Suitable
7.8,10,8.6,Poor,Loamy,Not Suitable
7.8,22,2.6,Good,Clay,Not Suitable
4.5,60,9.6,Poor,Sandy,Not Suitable
8.5,65,4.7,Poor,Clay,Not Suitable
6.5,71,8.6,Poor,Sandy,Not Suitable
8.1,41,6.7,Poor,Loamy,Not Suitable
5.6,39,7.6,Poor,Loamy,Not Suitable
8.5,38,7.9,Good,Loamy,Not Suitable
5.9,58,5.5,Poor,Sandy,Not Suitable
4.1,54,5.9,Good,Loamy,Not Suitable
8.5,39,5.6,Good,Sandy,Not Suitable
4.5,25,6.3,Poor,Clay,Not Suitable
5.6,49,1.3,Poor,Sandy,Not Suitable
8.8,28,4.6,Poor,Clay,Not Suitable
8.8,27,6.5,Poor,Sandy,Not Suitable
6.9,10,6.4,Poor,Clay,Not Suitable
7.2,56,8.1,Good,Loamy,Suitable
6.2,75,6.9,Poor,Clay,Not Suitable
5.5,47,9.9,Poor,Loamy,Not Suitable
5.6,60,3.6,Good,Loamy,Not Suitable
7.4,72,4.2,Good,Clay,Not Suitable
7.8,13,4.5,Poor,Sandy,Not Suitable
8.0,10,5.2,Good,Sandy,Not Suitable
7.9,17,8.5,Poor,Sandy,Not Suitable
4.5,38,3.1,Good,Sandy,Not Suitable
6.5,64,8.0,Good,Sandy,Not Suitable
4.3,12,4.6,Poor,Loamy,Not Suitable
6.7,41,6.4,Good,Sandy,Suitable
6.2,19,6.7,Good,Loamy,Not Suitable
8.4,43,4.4,Good,Loamy,Not Suitable
5.8,64,5.6,Good,Loamy,Not Suitable
4.6,41,4.7,Good,Clay,Not Suitable
4.7,59,1.6,Good,Clay,Not Suitable
7.8,16,4.9,Poor,Loamy,Not Suitable
7.1,17,1.9,Poor,Clay,Not Suitable
4.5,74,4.6,Good,Sandy,Not Suitable
4.4,66,6.3,Poor,Sandy,Not Suitable
7.5,76,6.2,Poor,Loamy,Not Suitable
4.4,68,7.0,Poor,Sandy,Not Suitable
8.1,63,1.9,Good,Loamy,Not Suitable
7.5,76,6.9,Poor,Loamy,Not Suitable
4.4,60,3.8,Good,Sandy,Not Suitable
4.4,17,4.6,Poor,Clay,Not Suitable
8.9,43,8.7,Good,Sandy,Not Suitable
5.9,44,1.1,Good,Sandy,Not Suitable
5.9,41,6.3,Poor,Loamy,Not Suitable
8.1,55,6.4,Poor,Loamy,Not Suitable
8.7,25,4.6,Good,Loamy,Not Suitable
8.9,77,3.1,Poor,Loamy,Not Suitable
7.8,46,3.1,Poor,Clay,Not Suitable
5.9,63,9.0,Poor,Clay,Not Suitable
4.4,23,5.0,Good,Clay,Not Suitable
7.9,64,4.0,Good,Loamy,Not Suitable
6.8,57,5.0,Poor,Loamy,Not Suitable
6.1,16,7.0,Poor,Loamy,Not Suitable
8.5,16,2.3,Poor,Clay,Not Suitable
4.6,42,5.0,Good,Loamy,Not Suitable
6.5,32,6.3,Good,Sandy,Suitable
4.1,28,9.5,Poor,Sandy,Not Suitable
6.3,28,3.3,Poor,Loamy,Not Suitable
4.3,45,4.2,Poor,Sandy,Not Suitable
4.6,38,4.4,Poor,Sandy,Not Suitable
4.6,69,6.4,Poor,Clay,Not Suitable
7.2,11,4.2,Poor,Loamy,Not Suitable
7.7,10,5.8,Good,Loamy,Not Suitable
6.9,56,8.0,Poor,Clay,Not Suitable
8.8,78,7.3,Good,Sandy,Not Suitable
5.9,29,5.0,Poor,Sandy,Not Suitable
5.4,20,8.8,Poor,Loamy,Not Suitable
8.3,11,6.0,Good,Sandy,Not Suitable
5.1,76,5.9,Good,Clay,Not Suitable
8.8,21,1.3,Good,Clay,Not Suitable
4.1,29,9.9,Good,Loamy,Not Suitable
8.8,14,2.1,Poor,Clay,Not Suitable
4.2,46,3.1,Good,Clay,Not Suitable
8.5,47,1.5,Poor,Loamy,Not Suitable
6.6,18,6.8,Good,Clay,Not Suitable
9.0,62,3.0,Poor,Clay,Not Suitable
4.4,53,2.6,Poor,Clay,Not Suitable
6.8,33,1.8,Poor,Sandy,Not Suitable
8.8,39,1.9,Poor,Loamy,Not Suitable
6.6,68,6.3,Poor,Loamy,Not Suitable
7.1,23,7.2,Poor,Loamy,Not Suitable
7.5,18,4.6,Good,Sandy,Not Suitable
6.3,49,5.3,Poor,Sandy,Not Suitable
7.1,75,7.2,Good,Loamy,Not Suitable
6.9,34,1.2,Good,Sandy,Not Suitable
8.5,31,3.9,Poor,Loamy,Not Suitable
4.2,13,9.8,Good,Sandy,Not Suitable
5.4,35,6.2,Poor,Clay,Not Suitable
8.8,67,3.3,Good,Clay,Not Suitable
8.5,38,5.7,Poor,Loamy,Not Suitable
6.3,46,4.1,Good,Sandy,Suitable
7.1,79,5.8,Poor,Sandy,Not Suitable
5.4,27,2.1,Poor,Clay,Not Suitable
4.9,51,2.2,Poor,Clay,Not Suitable
6.3,50,2.3,Poor,Sandy,Not Suitable
5.8,47,9.5,Good,Sandy,Not Suitable
6.9,43,7.6,Poor,Sandy,Not Suitable
4.4,26,2.5,Good,Sandy,Not Suitable
8.9,46,2.7,Good,Sandy,Not Suitable
8.9,34,7.6,Good,Sandy,Not Suitable
